Business Name,Address,Place ID,Category Query,City
Oak Park,"3901 Ingersoll Ave, Des Moines, IA 50312, United States",ChIJv1EAvPuf7ocReZVklqg8TKM,restaurant,"Des Moines, IA"
Bubba,"200 10th St, Des Moines, IA 50309, United States",ChIJkQgLgAKZ7ocRHfPRQ6QgIXQ,restaurant,"Des Moines, IA"
Proudfoot & Bird,"1000 Walnut St, Des Moines, IA 50309, United States",ChIJPW7PZlKZ7ocRB9-j0BUCJn8,restaurant,"Des Moines, IA"
The Royal Mile,"210 4th St, Des Moines, IA 50309, United States",ChIJUe5WCwCZ7ocRWPnJ_5yw2x8,restaurant,"Des Moines, IA"
The Breakfast Club,"212 E 3rd St Ste B, Des Moines, IA 50309, United States",ChIJV8WIri6Z7ocRLx9XTwD6Rt0,restaurant,"Des Moines, IA"
RoCA,"208 Court Ave, Des Moines, IA 50309, United States",ChIJrxRe2aqZ7ocRjqnGrMKqnzQ,restaurant,"Des Moines, IA"
The Stuffed Olive Des Moines,"216 Court Ave Suite 100, Des Moines, IA 50309, United States",ChIJMR0slKqZ7ocRAx-GKXOo8OM,restaurant,"Des Moines, IA"
801 Chophouse,"801 Grand Ave STE 200, Des Moines, IA 50309, United States",ChIJJXiBuwOZ7ocRykc9CgIyY3k,restaurant,"Des Moines, IA"
Christopher's,"2816 Beaver Ave, Des Moines, IA 50310, United States",ChIJ35aFvqee7ocRutYwNdLpAto,restaurant,"Des Moines, IA"
Mulberry Street Tavern,"206 6th Ave, Des Moines, IA 50309, United States",ChIJVVWVywGZ7ocRr-uEnMVM8MU,restaurant,"Des Moines, IA"
The Iowa Taproom,"215 E 3rd St #100, Des Moines, IA 50309, United States",ChIJub2Coq2Z7ocRzg0GEXB3v2I,restaurant,"Des Moines, IA"
Tupelo Honey Southern Kitchen & Bar,"665 Grand Ave Ste 100, Des Moines, IA 50309, United States",ChIJwZoZZnSZ7ocR26dauq68Uj4,restaurant,"Des Moines, IA"
Centro,"1003 Locust St, Des Moines, IA 50309, United States",ChIJezgr5AKZ7ocRBMpH-RagbwY,restaurant,"Des Moines, IA"
Hessen Haus,"101 SW 4th St, Des Moines, IA 50309, United States",ChIJ1_LzSVWY7ocRE-mNuLb_NxU,restaurant,"Des Moines, IA"
Table 128,"220 SW 9th St #120, Des Moines, IA 50309, United States",ChIJNyNTJQCZ7ocRNzmXOoqcvrA,restaurant,"Des Moines, IA"
Django,"1420 Locust St, Des Moines, IA 50309, United States",ChIJTSqcfwKZ7ocRq6eJuKn0Iow,restaurant,"Des Moines, IA"
Chicago Speakeasy,"1520 Euclid Ave, Des Moines, IA 50313, United States",ChIJgwhmk96b7ocRwCWdXCkBzuc,restaurant,"Des Moines, IA"
Firebirds Wood Fired Grill,"440 S 68th St, West Des Moines, IA 50266, United States",ChIJT7TbVbkh7IcRsazXDq9VKOE,restaurant,"Des Moines, IA"
Either/Or,"6222 Grand Ave, Des Moines, IA 50312, United States",ChIJQZR0Zxqf7ocRapr3zOTwfhw,restaurant,"Des Moines, IA"
Americana,"1312 Locust St, Des Moines, IA 50309, United States",ChIJM0U3dx2Z7ocRnRGFKeQWdkk,restaurant,"Des Moines, IA"
Cooper's on 5th,"227 5th St, West Des Moines, IA 50265, United States",ChIJw8P1T6-f7ocRXHYZbHoVhnw,restaurant,"West Des Moines, IA"
Firebirds Wood Fired Grill,"440 S 68th St, West Des Moines, IA 50266, United States",ChIJT7TbVbkh7IcRsazXDq9VKOE,restaurant,"West Des Moines, IA"
Fire Creek,"800 S 50th St STE 110, West Des Moines, IA 50265, United States",ChIJb0go_zgg7IcROwvEH-Wpyrg,restaurant,"West Des Moines, IA"
Guesthouse Tavern + Oyster,"9500 University Ave Suite 1118, West Des Moines, IA 50266, United States",ChIJhZrAldEj7IcRxAJZa7NCQJI,restaurant,"West Des Moines, IA"
Biaggi's Ristorante Italiano,"5990 University Ave, West Des Moines, IA 50266, United States",ChIJO9jA7iIh7IcRAlXSI_Zfpok,restaurant,"West Des Moines, IA"
Prime and Providence,"595 S 60th St, West Des Moines, IA 50266, United States",ChIJtRT4eAAh7IcRn_OX-eWqyG8,restaurant,"West Des Moines, IA"
Anna Dolce Ristorante,"5585 Mills Civic Pkwy STE 110, West Des Moines, IA 50266, United States",ChIJdZBA5CEh7IcRnfHpSYRJ7xI,restaurant,"West Des Moines, IA"
Eggs and Jam,"1907 EP True Pkwy Suite 102, West Des Moines, IA 50265, United States",ChIJ5bBZN9Cf7ocRUeR7wWxiKE8,restaurant,"West Des Moines, IA"
Ruth's Chris Steak House,"950 Jordan Creek Pkwy suite 1100, West Des Moines, IA 50266, United States",ChIJB505NkIh7IcRYmqmmhOm-Mo,restaurant,"West Des Moines, IA"
Shirley’s Bar & Grill,"9250 University Ave Suite 117, West Des Moines, IA 50266, United States",ChIJ_fEsfqYj7IcR-GnH6z2AWp0,restaurant,"West Des Moines, IA"
Early Bird West Des Moines,"9250 University Ave Unit 107, West Des Moines, IA 50266, United States",ChIJEwTN29kj7IcRA2CbjXNVwN0,restaurant,"West Des Moines, IA"
The Breakfast Club,"5525 Mills Civic Pkwy #100, West Des Moines, IA 50266, United States",ChIJeeOnUzsh7IcRZsRdQymQrr4,restaurant,"West Des Moines, IA"
Mi Patria Ecuadorian Restaurant,"1410 22nd St, West Des Moines, IA 50266, United States",ChIJdX0fpCWe7ocRtj9Oq2_Ckvs,restaurant,"West Des Moines, IA"
Gilroy's Kitchen + Pub + Patio,"1238 8th St, West Des Moines, IA 50265, United States",ChIJQSeSNk6e7ocR1M7TbeIvZFg,restaurant,"West Des Moines, IA"
Waterfront Seafood Market,"2900 University Ave, West Des Moines, IA 50266, United States",ChIJNzLC4J8g7IcRdQZu3xDGEnI,restaurant,"West Des Moines, IA"
Irina's Steak & Seafood,"650 S Prairie View Dr Suite 100, West Des Moines, IA 50266, United States",ChIJsSCcZNgh7IcRPQUtNpIyzIU,restaurant,"West Des Moines, IA"
Johnny's Italian Steakhouse,"6075 Mills Civic Pkwy, West Des Moines, IA 50266, United States",ChIJSbOPNrYh7IcRaYWpzUELDy4,restaurant,"West Des Moines, IA"
Bevy’s Tavern,"1300 50th St Suite 206, West Des Moines, IA 50266, United States",ChIJz3wJf8oh7IcR9Ganix9l7Io,restaurant,"West Des Moines, IA"
Brazil Terra Grill Steakhouse,"2800 University Ave Suite 405, West Des Moines, IA 50266, United States",ChIJHWNTwGef7ocRRhQ6qGQoKAg,restaurant,"West Des Moines, IA"
The Pelican Post Bar & Grille,"265 50th St, West Des Moines, IA 50265, United States",ChIJdffbBDwh7IcRMEOXTWJZODs,restaurant,"West Des Moines, IA"
The Breakfast Club,"1465 SW Park Square Dr, Ankeny, IA 50023, United States",ChIJSy-gS4CF7ocRhYb219i3K8k,restaurant,"Ankeny, IA"
Oceanside Grill,"1802 N Ankeny Blvd suite 100 B, Ankeny, IA 50023, United States",ChIJzRXe1xeF7ocRLTSuZixL2JM,restaurant,"Ankeny, IA"
Hokkaido Ramen House,"2732 SE Delaware Ave Suite 310, Ankeny, IA 50021, United States",ChIJ_-t4XACb7ocRGjCx0_seQ1E,restaurant,"Ankeny, IA"
